CurrentTime,GazePos_x,GazePos_y
0.2286577,0.5148665,0.4906554
0.4286575,0.5148665,0.4906554
0.6486568,0.4944217,0.5389163
0.8486576,0.5312089,0.5397698
1.078657,0.6398315,0.5190396
1.278657,0.6190701,0.5436027
1.498657,0.4556268,0.546182
1.718657,0.5289822,0.5549344
1.948657,0.6172175,0.5485128
2.148657,0.583873,0.5417019
2.348658,0.5665692,0.5383684
2.578657,0.4219887,0.5107465
2.778657,0.4497821,0.4624109
3.008657,0.3941859,0.4454988
3.208657,0.3992412,0.4548249
3.408657,0.4090574,0.4612571
3.608657,0.4316122,0.4768542
3.808658,0.4275637,0.4712154
4.028657,0.6104401,0.5089559
4.228657,0.5174353,0.5173067
4.428658,0.4838978,0.5180452
4.628657,0.4838978,0.5180452
4.828657,0.4838978,0.5180452
5.028657,0.5114974,0.5125505
5.228658,0.5062508,0.5012566
5.448657,0.4502265,0.4985124
5.648658,0.4226268,0.5031945
5.848657,0.4601575,0.4918883
6.048657,0.4707427,0.4834906
6.248656,0.4751534,0.4801525
6.448657,0.4741913,0.4741369
6.648658,0.4769502,0.4779453
6.848657,0.4775729,0.4753651
7.048657,0.4788178,0.4772186
7.248656,0.4781858,0.4760578
7.448657,0.4807386,0.4766209
7.688657,0.5322375,0.490668
7.888658,0.5072002,0.4863974
8.128657,0.2239198,0.5056911
8.328656,0.3820449,0.49643
8.528657,0.4241541,0.5052841
8.728658,0.4156109,0.4927939
8.928657,0.4172528,0.4891618
9.128657,0.4209908,0.476903
9.348657,0.6714531,0.5114273
9.598657,0.401533,0.4769843
9.818658,0.536929,0.4990066
10.01866,0.5087873,0.486316
10.30866,0.6155794,0.5059181
10.51866,0.6050481,0.497508
10.71866,0.5998029,0.4981344
10.91866,0.5858293,0.4853098
11.11866,0.5857086,0.4895778
11.31866,0.5913606,0.4877355
11.51866,0.5913606,0.4877355
11.71866,0.6081153,0.4904028
11.91866,0.6076824,0.4967604
12.11866,0.6015987,0.4964249
12.34866,0.3521615,0.4994396
12.54866,0.438127,0.5085015
12.76866,0.4564477,0.5062575
12.96866,0.4565871,0.4913959
13.18866,0.3611618,0.4977635
13.38866,0.452043,0.5015353
13.58866,0.4744242,0.4933606
13.78866,0.4696502,0.4882229
13.98866,0.4687184,0.4958539
14.18866,0.4756289,0.489008
14.38866,0.4721764,0.4901609
14.58866,0.4669144,0.5031927
14.79866,0.5623434,0.531725
14.99866,0.5580574,0.5236199
15.19866,0.5598576,0.5198337
15.43866,0.3685723,0.4847788
15.63866,0.4442038,0.4971105
15.83866,0.4804981,0.486077
16.03866,0.4804957,0.4771106
16.23866,0.4748771,0.4771778
16.43866,0.472242,0.4760236
16.63866,0.5053371,0.4825914
16.87866,0.6165158,0.5267368
17.07866,0.5653867,0.5320988
17.27866,0.5097836,0.5269148
17.47866,0.5120798,0.5274807
17.67866,0.508233,0.5222471
17.87866,0.5072954,0.519628
18.09866,0.3677787,0.5146758
18.36866,0.7277814,0.5123595
18.56866,0.5927824,0.4975102
18.76866,0.5938869,0.4933112
18.96866,0.6068541,0.4914706
19.16866,0.6133384,0.4857339
19.36866,0.6237428,0.4914479
19.56866,0.6286278,0.4954049
19.76866,0.6461141,0.5053231
19.98866,0.4457488,0.5101198
20.18866,0.4841026,0.5103688
20.38866,0.4719216,0.5182331
20.63866,0.261543,0.5050359
20.83866,0.408743,0.5098332
21.03865,0.4617546,0.4950306
21.23866,0.4590052,0.5051882
21.43866,0.4590052,0.5051882
21.74866,0.4954283,0.5076368
21.94865,0.4760157,0.5486685
22.17866,0.3725069,0.5728915
22.40866,0.4815784,0.5509468
22.62865,0.5515882,0.5463637
22.85865,0.6189275,0.5504966
23.05865,0.5787919,0.5516583
23.25866,0.6026886,0.5508034
23.45866,0.5546368,0.5256296
23.65866,0.5349158,0.5015567
23.85865,0.5349158,0.5015567
24.05865,0.5355523,0.4997316
24.25866,0.537901,0.5146285
24.45866,0.5368354,0.517248
24.65866,0.4577503,0.5249338
24.87865,0.5453508,0.5258726
25.07866,0.5443143,0.5154307
25.27866,0.5230372,0.5170346
25.47866,0.5215676,0.520494
25.69865,0.6229143,0.5238169
25.89865,0.5414728,0.5103543
26.09866,0.5149394,0.4775209
26.29866,0.5321398,0.4677701
26.49866,0.527001,0.4523106
26.69865,0.5258904,0.4524181
26.89865,0.5342429,0.4571972
27.12865,0.4757333,0.5563453
27.37865,0.4793853,0.6098119
27.57866,0.4803557,0.5889845
27.77866,0.4610431,0.5467484
27.97866,0.4845793,0.546014
28.17866,0.4845789,0.546014
28.37865,0.5248181,0.5130857
28.57866,0.515342,0.5190645
28.77866,0.5050185,0.5317278
28.97866,0.4976681,0.5345106
29.19865,0.4019524,0.5369495
29.39865,0.3801392,0.537037
29.59866,0.370507,0.5199137
29.79866,0.4478971,0.5297333
30.02866,0.5103486,0.516281
30.22866,0.543961,0.5230604
30.42866,0.5475584,0.515235
30.62865,0.5475585,0.5152351
30.83866,0.5255415,0.4829587
31.03865,0.5326744,0.49435
31.23866,0.5155846,0.5184201
31.43866,0.5162823,0.5228593
31.63866,0.5055953,0.5205668
31.85865,0.4459291,0.5515123
32.05865,0.5003689,0.5240445
32.25866,0.5001131,0.5117521
32.48866,0.6089892,0.5126997
32.70866,0.4963826,0.5136115
32.90866,0.5000594,0.509006
33.11866,0.6661791,0.503215
33.31866,0.6531613,0.5086496
33.51865,0.6614518,0.5189112
33.76865,0.4526236,0.4882203
33.96865,0.4770972,0.5009587
34.16866,0.4771619,0.4969794
34.36866,0.5009437,0.4957924
34.56866,0.5023207,0.4987169
34.76865,0.4987772,0.4960168
34.96865,0.4993351,0.4962736
35.16866,0.4974475,0.4961879
35.38866,0.6564706,0.5148036
35.61866,0.6275732,0.5279472
35.81866,0.5866898,0.515812
36.01865,0.5968695,0.5100477
36.21865,0.5902268,0.5105197
36.41866,0.5150113,0.5284057
36.61866,0.51523,0.5310564
36.81866,0.5136483,0.5403594
37.01865,0.5198504,0.5432407
37.25866,0.5953566,0.5276642
37.45866,0.5996997,0.5282993
37.67865,0.5007192,0.5189802
37.87865,0.5273126,0.5378238
38.07866,0.5428169,0.5217054
38.27866,0.5410321,0.5120436
38.47866,0.5403712,0.5074297
38.67865,0.5381283,0.5032501
38.87865,0.5397653,0.5006449
39.07866,0.538632,0.528367
39.32866,0.4679996,0.5804237
39.55865,0.5173196,0.5346476
39.75866,0.4886231,0.5299588
39.95866,0.4899183,0.5269907
40.15866,0.4868295,0.5273101
40.35865,0.4862601,0.5262431
40.60865,0.3351082,0.5203993
40.80865,0.4491407,0.493448
41.00866,0.4509176,0.4885055
41.22866,0.4815885,0.531582
41.45866,0.4906308,0.5036848
41.67865,0.5899302,0.5201367
41.87865,0.5782937,0.5294114
42.07866,0.5485233,0.5257074
42.27866,0.5299411,0.5277542
42.47866,0.5270429,0.5268792
42.67865,0.5555552,0.5239025
42.89865,0.6172721,0.5226299
43.10865,0.4973702,0.5058016
43.30865,0.5001246,0.4996685
43.50866,0.4983647,0.4789569
43.70866,0.4953716,0.4705549
43.90866,0.4956529,0.471862
44.10865,0.4956529,0.471862
44.32866,0.5973492,0.5465822
44.52866,0.5798457,0.5407854
44.72866,0.5489168,0.5355639
44.92865,0.5419343,0.5295104
45.12865,0.5419419,0.5264815
45.32866,0.5423619,0.5273689
45.54866,0.46242,0.523643
45.74866,0.4981894,0.5048174
45.94865,0.4848712,0.5000857
46.14865,0.4851023,0.4961478
46.34866,0.4851023,0.4961478
46.54866,0.4831686,0.5026811
46.74866,0.5700612,0.526939
46.94865,0.5699775,0.5313219
47.16866,0.7420644,0.5443062
47.40866,0.5156236,0.5040078
47.60865,0.5149534,0.507144
47.80865,0.4770255,0.500541
48.05865,0.7577773,0.5137132
48.25866,0.6134628,0.5279543
48.45866,0.5452387,0.5126187
48.66866,0.6392682,0.5317212
48.86866,0.6288418,0.5285541
49.06866,0.6292804,0.5316647
49.26865,0.6295503,0.533239
49.46865,0.6314532,0.535643
49.66866,0.6311111,0.5365382
49.86866,0.6323888,0.5386908
50.06866,0.6373562,0.5383714
50.30865,0.4456244,0.5138732
50.50866,0.4176505,0.5164936
50.74865,0.7030457,0.5193516
50.94865,0.6501449,0.504069
51.14865,0.6259668,0.4912086
51.34866,0.6342892,0.4804831
51.54866,0.6282344,0.4818746
51.74865,0.6341534,0.4864581
51.94865,0.6429502,0.5107068
52.14865,0.6606848,0.5254974
52.39865,0.4358925,0.5394206
52.59866,0.4925334,0.5335512
52.85865,0.7905426,0.5539632
53.08865,0.4727443,0.517778
53.29865,0.4571367,0.5104767
53.49866,0.4924534,0.5065995
53.69865,0.5042976,0.4980592
53.89866,0.4954212,0.4894359
54.09866,0.4964918,0.4794505
54.29865,0.4961506,0.4759704
54.49866,0.4954852,0.4773854
54.70866,0.5380352,0.5150598
54.91866,0.4786647,0.520612
55.11865,0.4775151,0.5197058
55.31866,0.4944369,0.5067917
55.51865,0.4684938,0.5116402
55.76865,0.3524704,0.5064335
55.96866,0.4272259,0.492117
56.16866,0.4213008,0.5002564
56.36865,0.4314871,0.4931535
56.61865,0.5759155,0.5232263
56.83865,0.4256634,0.4964456
57.03866,0.441186,0.4890403
57.26865,0.6143627,0.4902447
57.46866,0.5604693,0.4948487
57.67866,0.6402948,0.4900336
57.87865,0.5784324,0.4961986
58.13866,0.376246,0.4684446
58.35866,0.4117041,0.513501
58.55865,0.4463563,0.5391098
58.75865,0.4543716,0.5172781
58.95866,0.4451928,0.4837157
59.15865,0.4543427,0.4787149
59.35866,0.4520978,0.4755892
59.57865,0.623214,0.5202588
59.77866,0.5563901,0.523301
59.97865,0.5046268,0.5124761
60.17866,0.496626,0.5138312
60.37865,0.496626,0.5138312
60.57865,0.496626,0.5138312
60.77866,0.496626,0.5138312
60.97865,0.496626,0.5138312
61.17866,0.4942895,0.5228094
61.37865,0.4968247,0.5214415
61.57865,0.4898851,0.5258633
61.77866,0.5533549,0.5299757
61.97865,0.5505484,0.5251974
62.17866,0.5501691,0.5239235
62.37865,0.582095,0.5236281
62.57865,0.5817708,0.5251536
62.77866,0.5053827,0.5220077
62.97865,0.499447,0.5213119
63.17866,0.4958871,0.5322737
63.38866,0.4505235,0.4938122
63.59866,0.5891993,0.526028
63.79865,0.5845862,0.5330371
63.99866,0.5576894,0.5371324
64.20866,0.4526764,0.5372589
64.40865,0.4272536,0.519227
64.60866,0.4565397,0.516533
64.80865,0.510861,0.5124908
65.00865,0.5076441,0.5176682
65.20866,0.5065722,0.5159234
65.40865,0.5089514,0.5277821
65.60866,0.499016,0.5338704
65.80865,0.4968927,0.5463848
66.01865,0.4419891,0.504811
66.21866,0.4515534,0.5091888
66.41866,0.5167854,0.514439
66.61865,0.4996437,0.501021
66.81866,0.4941286,0.5046895
67.01865,0.4998221,0.503058
67.21866,0.4980527,0.5079625
67.42866,0.5631531,0.5105337
67.62865,0.5218518,0.5110949
67.82865,0.5207096,0.5041654
68.02866,0.4260372,0.5004245
68.22865,0.4795728,0.4558846
68.42866,0.4949453,0.4499881
68.62865,0.5031732,0.4488935
68.82865,0.4981145,0.4463689
69.02866,0.5003008,0.4428355
69.22865,0.5009366,0.4464419
69.42866,0.4933529,0.4558953
69.62865,0.4970285,0.4520879
69.82865,0.4987397,0.4476476
70.02866,0.4972113,0.4444676
70.22865,0.4934532,0.4481758
70.44865,0.5729876,0.5195135
70.69865,0.6755394,0.5124117
70.89865,0.5494525,0.4785273
71.09866,0.5392655,0.4704722
71.29865,0.5502324,0.4688295
71.49866,0.5525424,0.4679704
71.69865,0.5528758,0.4669122
71.89865,0.5563087,0.4679717
72.09866,0.5603291,0.4674023
72.29865,0.5620831,0.4642289
72.49866,0.566766,0.4665692
72.69865,0.5628161,0.4655151
72.90865,0.4816841,0.4811332
73.10866,0.4942169,0.4924486
73.32865,0.3371841,0.5014315
73.52866,0.4503872,0.455649
73.72865,0.4552058,0.4804783
73.92866,0.4515432,0.4624269
74.12865,0.4525383,0.4312244
74.32865,0.4410957,0.4494337
74.52866,0.4410957,0.4494337
74.72865,0.444826,0.4846612
74.96866,0.5584586,0.481138
75.16866,0.5568302,0.4785978
75.36865,0.5520523,0.4782974
75.58865,0.6252773,0.4584899
75.78866,0.5995901,0.5065019
75.99866,0.6367651,0.5028958
76.19865,0.6533009,0.4984255
76.39865,0.6292689,0.4773437
76.59866,0.6328919,0.4854072
76.79865,0.6265965,0.4949282
76.99866,0.6362383,0.493547
77.19865,0.5906312,0.5127158
77.39865,0.6571215,0.4828924
77.62865,0.4638573,0.4665066
77.82865,0.6069226,0.4853394
78.02866,0.6054719,0.4854867
78.22865,0.6204123,0.4847082
78.42866,0.6073607,0.473184
78.62865,0.6132628,0.4692718
78.82865,0.6215134,0.4725853
79.03866,0.5072427,0.5143209
79.23866,0.4748787,0.5100222
79.43865,0.505896,0.507958
79.63866,0.5012288,0.5064379
79.83865,0.4813594,0.5013543
80.03866,0.4779027,0.4994912
80.23866,0.4985873,0.4948992
80.43865,0.5002968,0.4941985
80.67866,0.3111764,0.5080543
80.87865,0.3485486,0.5077295
81.07865,0.3842799,0.4996263
81.27866,0.3743767,0.4864567
81.47865,0.3723685,0.4837515
81.68865,0.4741636,0.4658813
81.89865,0.5834539,0.5053589
82.14865,0.3572508,0.4986616
82.34866,0.3571525,0.4969984
82.59866,0.5578126,0.496373
82.79865,0.6149195,0.5058485
83.01865,0.5004096,0.500604
83.21865,0.4319732,0.4788395
83.41866,0.4472129,0.4895071
83.61865,0.4478201,0.4714536
83.81866,0.4521954,0.4790585
84.01865,0.4388266,0.474853
84.23866,0.5575557,0.5081412
84.43865,0.5396207,0.5085092
84.68865,0.3701422,0.5148463
84.88866,0.3551255,0.5183522
85.08865,0.3690157,0.5181978
85.31866,0.3939985,0.5191046
85.51865,0.3954534,0.5282855
85.71865,0.352132,0.5178016
85.91866,0.3768687,0.5121753
86.14865,0.5129337,0.5258527
86.37865,0.5895222,0.5607448
86.57865,0.5926983,0.559824
86.77866,0.594586,0.559208
86.98866,0.5176944,0.5027026
87.18865,0.512799,0.5051785
87.38866,0.5102544,0.5029789
87.59866,0.6034624,0.5425046
87.80865,0.5163568,0.5056727
88.00865,0.5153033,0.5055168
88.24866,0.7996366,0.5044609
88.48866,0.6433077,0.5265027
88.68865,0.5609914,0.514743
88.88866,0.5540103,0.528548
89.08865,0.5540103,0.528548
89.28866,0.5579252,0.5048272
89.48866,0.5723705,0.5105597
89.68865,0.560192,0.5149876
89.88866,0.5642272,0.5191227
90.08865,0.5609927,0.5180489
90.28866,0.5565906,0.5164789
90.48866,0.5547712,0.5155584
90.69865,0.4258781,0.5030533
90.89865,0.5617625,0.5186086
91.09866,0.5506104,0.5177325
